Longueur onde;Absorbance eau;Longueur onde;Absorbance s1;Longueur onde;Absorbance S2;Longueur onde;Absorbance S3;Longueur onde;Absorbance S4;Longueur onde;Absorbance S5;Longueur onde;Absorbance
4E-7;0,0019;4E-7;0,1566;4E-7;0,1429;4E-7;0,0905;4E-7;0,062;4E-7;0,0551;4E-7;0,1332
4,05E-7;0,0014;4,05E-7;0,1668;4,05E-7;0,1517;4,05E-7;0,0878;4,05E-7;0,0568;4,05E-7;0,0482;4,05E-7;0,1438
4,1E-7;0,0017;4,1E-7;0,1765;4,1E-7;0,1617;4,1E-7;0,0875;4,1E-7;0,0524;4,1E-7;0,0434;4,1E-7;0,1536
4,15E-7;0,002;4,15E-7;0,1871;4,15E-7;0,1723;4,15E-7;0,0873;4,15E-7;0,0499;4,15E-7;0,0391;4,15E-7;0,164
4,2E-7;0,002;4,2E-7;0,1942;4,2E-7;0,1793;4,2E-7;0,0877;4,2E-7;0,0483;4,2E-7;0,0355;4,2E-7;0,1722
4,25E-7;0,0017;4,25E-7;0,2007;4,25E-7;0,1866;4,25E-7;0,0883;4,25E-7;0,0472;4,25E-7;0,0347;4,25E-7;0,1791
4,3E-7;0,0016;4,3E-7;0,2055;4,3E-7;0,1907;4,3E-7;0,0892;4,3E-7;0,0468;4,3E-7;0,0344;4,3E-7;0,1835
4,35E-7;0,0013;4,35E-7;0,2071;4,35E-7;0,1921;4,35E-7;0,0898;4,35E-7;0,0473;4,35E-7;0,0338;4,35E-7;0,185
4,4E-7;0,0013;4,4E-7;0,2054;4,4E-7;0,1921;4,4E-7;0,0896;4,4E-7;0,0476;4,4E-7;0,0335;4,4E-7;0,1853
4,45E-7;0,002;4,45E-7;0,2045;4,45E-7;0,1911;4,45E-7;0,091;4,45E-7;0,05;4,45E-7;0,0394;4,45E-7;0,1837
4,5E-7;0,0018;4,5E-7;0,1973;4,5E-7;0,1842;4,5E-7;0,0895;4,5E-7;0,0507;4,5E-7;0,0402;4,5E-7;0,1769
4,55E-7;0,0018;4,55E-7;0,1902;4,55E-7;0,1772;4,55E-7;0,0878;4,55E-7;0,0514;4,55E-7;0,0415;4,55E-7;0,1694
4,6E-7;0,0016;4,6E-7;0,1796;4,6E-7;0,1673;4,6E-7;0,0857;4,6E-7;0,0529;4,6E-7;0,0429;4,6E-7;0,1601
4,65E-7;0,0016;4,65E-7;0,1695;4,65E-7;0,158;4,65E-7;0,083;4,65E-7;0,0537;4,65E-7;0,0443;4,65E-7;0,1509
4,7E-7;0,0017;4,7E-7;0,1559;4,7E-7;0,1451;4,7E-7;0,0816;4,7E-7;0,0545;4,7E-7;0,0467;4,7E-7;0,1379
4,75E-7;0,0022;4,75E-7;0,1423;4,75E-7;0,132;4,75E-7;0,0807;4,75E-7;0,0581;4,75E-7;0,0498;4,75E-7;0,1246
4,8E-7;0,0022;4,8E-7;0,1304;4,8E-7;0,1201;4,8E-7;0,0794;4,8E-7;0,0605;4,8E-7;0,0525;4,8E-7;0,1126
4,85E-7;0,0022;4,85E-7;0,1163;4,85E-7;0,1065;4,85E-7;0,0783;4,85E-7;0,062;4,85E-7;0,0559;4,85E-7;0,0984
4,9E-7;0,0017;4,9E-7;0,1048;4,9E-7;0,0948;4,9E-7;0,0784;4,9E-7;0,0645;4,9E-7;0,0597;4,9E-7;0,0882
4,95E-7;0,0021;4,95E-7;0,0929;4,95E-7;0,0834;4,95E-7;0,079;4,95E-7;0,0697;4,95E-7;0,0624;4,95E-7;0,0771
5E-7;0,0025;5E-7;0,0826;5E-7;0,0739;5E-7;0,0807;5E-7;0,0766;5E-7;0,0736;5E-7;0,0672
5,05E-7;0,0028;5,05E-7;0,0739;5,05E-7;0,0654;5,05E-7;0,0826;5,05E-7;0,0816;5,05E-7;0,0802;5,05E-7;0,0583
5,1E-7;0,0029;5,1E-7;0,0645;5,1E-7;0,0567;5,1E-7;0,0855;5,1E-7;0,0888;5,1E-7;0,0897;5,1E-7;0,0503
5,15E-7;0,003;5,15E-7;0,0568;5,15E-7;0,0503;5,15E-7;0,0911;5,15E-7;0,0967;5,15E-7;0,0995;5,15E-7;0,0426
5,2E-7;0,0026;5,2E-7;0,05;5,2E-7;0,044;5,2E-7;0,0976;5,2E-7;0,1071;5,2E-7;0,1099;5,2E-7;0,0354
5,25E-7;0,0031;5,25E-7;0,0455;5,25E-7;0,0393;5,25E-7;0,1058;5,25E-7;0,1188;5,25E-7;0,1237;5,25E-7;0,0314
5,3E-7;0,0027;5,3E-7;0,0405;5,3E-7;0,035;5,3E-7;0,1135;5,3E-7;0,1306;5,3E-7;0,1357;5,3E-7;0,0271
5,35E-7;0,0032;5,35E-7;0,037;5,35E-7;0,0307;5,35E-7;0,1241;5,35E-7;0,1454;5,35E-7;0,1507;5,35E-7;0,0239
5,4E-7;0,0032;5,4E-7;0,0346;5,4E-7;0,0281;5,4E-7;0,136;5,4E-7;0,1603;5,4E-7;0,1672;5,4E-7;0,0212
5,45E-7;0,0031;5,45E-7;0,0322;5,45E-7;0,0262;5,45E-7;0,148;5,45E-7;0,177;5,45E-7;0,1846;5,45E-7;0,02
5,5E-7;0,0031;5,5E-7;0,0304;5,5E-7;0,025;5,5E-7;0,1605;5,5E-7;0,1949;5,5E-7;0,2018;5,5E-7;0,0187
5,55E-7;0,0031;5,55E-7;0,0276;5,55E-7;0,024;5,55E-7;0,1733;5,55E-7;0,2104;5,55E-7;0,2192;5,55E-7;0,0176
5,6E-7;0,003;5,6E-7;0,0273;5,6E-7;0,0228;5,6E-7;0,1874;5,6E-7;0,2275;5,6E-7;0,2386;5,6E-7;0,0172
5,65E-7;0,0034;5,65E-7;0,0275;5,65E-7;0,0225;5,65E-7;0,2042;5,65E-7;0,2485;5,65E-7;0,262;5,65E-7;0,0161
5,7E-7;0,0034;5,7E-7;0,026;5,7E-7;0,0219;5,7E-7;0,2245;5,7E-7;0,2747;5,7E-7;0,2899;5,7E-7;0,0156
5,75E-7;0,0039;5,75E-7;0,0261;5,75E-7;0,0219;5,75E-7;0,2502;5,75E-7;0,3077;5,75E-7;0,3224;5,75E-7;0,015
5,8E-7;0,0036;5,8E-7;0,0253;5,8E-7;0,021;5,8E-7;0,2791;5,8E-7;0,345;5,8E-7;0,3621;5,8E-7;0,0148
5,85E-7;0,0037;5,85E-7;0,0247;5,85E-7;0,0188;5,85E-7;0,3083;5,85E-7;0,3813;5,85E-7;0,4009;5,85E-7;0,0144
5,9E-7;0,0039;5,9E-7;0,024;5,9E-7;0,016;5,9E-7;0,3247;5,9E-7;0,4063;5,9E-7;0,4268;5,9E-7;0,0148
5,95E-7;0,0043;5,95E-7;0,0236;5,95E-7;0,0142;5,95E-7;0,3223;5,95E-7;0,4071;5,95E-7;0,4274;5,95E-7;0,0145
6E-7;0,0042;6E-7;0,0227;6E-7;0,0192;6E-7;0,297;6E-7;0,3749;6E-7;0,3941;6E-7;0,0139
6,05E-7;0,004;6,05E-7;0,0217;6,05E-7;0,0198;6,05E-7;0,2508;6,05E-7;0,3171;6,05E-7;0,3315;6,05E-7;0,013
6,1E-7;0,0033;6,1E-7;0,0214;6,1E-7;0,0201;6,1E-7;0,1968;6,1E-7;0,247;6,1E-7;0,2586;6,1E-7;0,0129
6,15E-7;0,0031;6,15E-7;0,0213;6,15E-7;0,015;6,15E-7;0,1463;6,15E-7;0,1736;6,15E-7;0,1812;6,15E-7;0,0124
6,2E-7;0,0027;6,2E-7;0,0209;6,2E-7;0,016;6,2E-7;0,1032;6,2E-7;0,1202;6,2E-7;0,1248;6,2E-7;0,0119
6,25E-7;0,0035;6,25E-7;0,0205;6,25E-7;0,0159;6,25E-7;0,0737;6,25E-7;0,0837;6,25E-7;0,0859;6,25E-7;0,0118
6,3E-7;0,0035;6,3E-7;0,0199;6,3E-7;0,0145;6,3E-7;0,0538;6,3E-7;0,0585;6,3E-7;0,0598;6,3E-7;0,0113
6,35E-7;0,0032;6,35E-7;0,0202;6,35E-7;0,0155;6,35E-7;0,0383;6,35E-7;0,0423;6,35E-7;0,0413;6,35E-7;0,011
6,4E-7;0,0034;6,4E-7;0,0197;6,4E-7;0,0135;6,4E-7;0,0295;6,4E-7;0,0321;6,4E-7;0,0305;6,4E-7;0,0106
6,45E-7;0,0034;6,45E-7;0,0209;6,45E-7;0,0124;6,45E-7;0,0258;6,45E-7;0,0258;6,45E-7;0,0258;6,45E-7;0,013
6,5E-7;0,0032;6,5E-7;0,0204;6,5E-7;0,0151;6,5E-7;0,0207;6,5E-7;0,021;6,5E-7;0,0213;6,5E-7;0,0111
6,55E-7;0,0026;6,55E-7;0,0199;6,55E-7;0,0165;6,55E-7;0,0126;6,55E-7;0,0181;6,55E-7;0,0181;6,55E-7;0,0099
6,6E-7;0,0023;6,6E-7;0,0191;6,6E-7;0,0152;6,6E-7;0,0087;6,6E-7;0,0158;6,6E-7;0,0152;6,6E-7;0,0084
6,65E-7;0,002;6,65E-7;0,0194;6,65E-7;0,0149;6,65E-7;0,0091;6,65E-7;0,0159;6,65E-7;0,0142;6,65E-7;0,0088
6,7E-7;0,0023;6,7E-7;0,0199;6,7E-7;0,0157;6,7E-7;0,012;6,7E-7;0,0169;6,7E-7;0,015;6,7E-7;0,0094
6,75E-7;0,0023;6,75E-7;0,0195;6,75E-7;0,0159;6,75E-7;0,0091;6,75E-7;0,0154;6,75E-7;0,0128;6,75E-7;0,0087
6,8E-7;0,003;6,8E-7;0,0195;6,8E-7;0,0161;6,8E-7;0,0075;6,8E-7;0,0143;6,8E-7;0,012;6,8E-7;0,009
6,85E-7;0,0026;6,85E-7;0,0185;6,85E-7;0,0161;6,85E-7;0,0108;6,85E-7;0,0116;6,85E-7;0,0122;6,85E-7;0,0088
6,9E-7;0,0028;6,9E-7;0,0183;6,9E-7;0,0157;6,9E-7;0,0174;6,9E-7;0,0086;6,9E-7;0,0118;6,9E-7;0,0076
6,95E-7;0,0021;6,95E-7;0,0173;6,95E-7;0,0156;6,95E-7;0,0171;6,95E-7;0,0041;6,95E-7;0,0105;6,95E-7;0,0058
7E-7;0,0025;7E-7;0,0174;7E-7;0,0157;7E-7;0,0172;7E-7;0,0023;7E-7;0,0103;7E-7;0,0049
7,05E-7;0,0023;7,05E-7;0,0175;7,05E-7;0,0154;7,05E-7;0,0167;7,05E-7;0,0019;7,05E-7;0,0104;7,05E-7;0,0048
7,1E-7;0,0017;7,1E-7;0,0169;7,1E-7;0,0148;7,1E-7;0,0165;7,1E-7;0,0016;7,1E-7;0,0094;7,1E-7;0,0038
7,15E-7;0,0023;7,15E-7;0,0178;7,15E-7;0,0154;7,15E-7;0,0171;7,15E-7;0,0019;7,15E-7;0,0103;7,15E-7;0,0033
7,2E-7;0,0023;7,2E-7;0,0176;7,2E-7;0,0151;7,2E-7;0,0148;7,2E-7;0,0019;7,2E-7;0,0093;7,2E-7;0,0023
7,25E-7;0,0025;7,25E-7;0,0167;7,25E-7;0,0147;7,25E-7;0,0144;7,25E-7;0,0015;7,25E-7;0,0086;7,25E-7;0,0015
7,3E-7;0,0023;7,3E-7;0,0163;7,3E-7;0,0144;7,3E-7;0,0138;7,3E-7;0,0013;7,3E-7;0,0084;7,3E-7;0,0013
7,35E-7;0,0023;7,35E-7;0,0163;7,35E-7;0,0137;7,35E-7;0,0136;7,35E-7;0,0016;7,35E-7;0,009;7,35E-7;0,001
7,4E-7;0,0022;7,4E-7;0,0156;7,4E-7;0,0133;7,4E-7;0,0132;7,4E-7;0,0014;7,4E-7;0,0077;7,4E-7;0,0005
7,45E-7;0,0014;7,45E-7;0,0157;7,45E-7;0,0132;7,45E-7;0,0111;7,45E-7;0,0017;7,45E-7;0,0069;7,45E-7;-0,0002
7,5E-7;0,0024;7,5E-7;0,016;7,5E-7;0,0132;7,5E-7;0,0122;7,5E-7;0,0017;7,5E-7;0,0074;7,5E-7;0
7,55E-7;0,0018;7,55E-7;0,0147;7,55E-7;0,0132;7,55E-7;0,011;7,55E-7;0,0025;7,55E-7;0,006;7,55E-7;-0,0002
7,6E-7;0,0026;7,6E-7;0,0148;7,6E-7;0,0133;7,6E-7;0,0109;7,6E-7;0,0041;7,6E-7;0,0059;7,6E-7;-0,0005
7,65E-7;0,002;7,65E-7;0,014;7,65E-7;0,0125;7,65E-7;0,0101;7,65E-7;0,0041;7,65E-7;0,005;7,65E-7;-0,0017
7,7E-7;0,0032;7,7E-7;0,0147;7,7E-7;0,0126;7,7E-7;0,0099;7,7E-7;0,0041;7,7E-7;0,0035;7,7E-7;-0,0008
7,75E-7;0,0036;7,75E-7;0,0149;7,75E-7;0,0127;7,75E-7;0,0096;7,75E-7;0,0035;7,75E-7;0,0063;7,75E-7;-0,0011
7,8E-7;0,003;7,8E-7;0,0138;7,8E-7;0,0122;7,8E-7;0,0097;7,8E-7;0,0039;7,8E-7;0,0054;7,8E-7;-0,0015
7,85E-7;0,003;7,85E-7;0,0142;7,85E-7;0,0123;7,85E-7;0,0101;7,85E-7;0,0048;7,85E-7;0,0055;7,85E-7;-0,0015
7,9E-7;0,0024;7,9E-7;0,0137;7,9E-7;0,0118;7,9E-7;0,0099;7,9E-7;0,0046;7,9E-7;0,0043;7,9E-7;-0,0022
7,95E-7;0,0021;7,95E-7;0,0138;7,95E-7;0,0118;7,95E-7;0,0097;7,95E-7;0,0046;7,95E-7;0,004;7,95E-7;-0,0018
8E-7;0,0021;8E-7;0,0136;8E-7;0,0107;8E-7;0,0094;8E-7;0,0044;8E-7;0,0037;8E-7;-0,0024
